h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda.att,ppda.def,ppda_allowed.att,ppda_allowed.def,team_id,team_name,league_name,year
h,0.80527,0.849709,0.80527,0.0885404,17,2,1,0,1.1601,w,2020-09-21,1,0,0,3,0.7167296000000001,89,20,247,14,71,Aston Villa,EPL,2020
a,2.03222,0.534675,2.03222,0.534675,10,5,3,0,2.4631,w,2020-09-28,1,0,0,3,1.4975450000000001,307,33,143,24,71,Aston Villa,EPL,2020
h,3.07626,1.65705,3.07626,1.65705,7,18,7,2,2.2569,w,2020-10-04,1,0,0,3,1.41921,365,25,119,25,71,Aston Villa,EPL,2020
a,0.873776,0.671595,0.873776,0.671595,7,4,1,0,1.5291,w,2020-10-18,1,0,0,3,0.20218099999999994,212,23,210,24,71,Aston Villa,EPL,2020
h,1.50125,2.37695,1.50125,2.37695,7,20,0,3,0.8236000000000001,l,2020-10-23,0,0,1,0,-0.8756999999999999,225,17,124,34,71,Aston Villa,EPL,2020
h,2.44855,1.00333,1.68738,1.00333,5,2,3,4,2.3854,l,2020-11-01,0,0,1,0,0.68405,161,23,164,22,71,Aston Villa,EPL,2020
a,1.98553,1.39037,1.98553,1.39037,16,6,3,0,1.8074,w,2020-11-08,1,0,0,3,0.5951599999999999,331,24,169,15,71,Aston Villa,EPL,2020
h,1.76514,1.50038,1.76514,1.50038,6,4,1,2,1.6157,l,2020-11-21,0,0,1,0,0.2647599999999999,257,14,208,17,71,Aston Villa,EPL,2020
a,2.39051,0.571633,1.62934,0.571633,8,2,1,2,2.6792,l,2020-11-30,0,0,1,0,1.0577070000000002,144,11,289,23,71,Aston Villa,EPL,2020
a,1.26872,1.1356,0.507552,1.1356,5,6,1,0,1.4946,w,2020-12-12,1,0,0,3,-0.6280479999999999,162,28,166,20,71,Aston Villa,EPL,2020
h,1.81142,0.316737,1.81142,0.316737,9,1,0,0,2.4833,d,2020-12-17,0,1,0,1,1.494683,111,21,179,31,71,Aston Villa,EPL,2020
a,2.61964,0.0388442,1.85847,0.0388442,12,1,3,0,2.9518999999999997,w,2020-12-20,1,0,0,3,1.8196258,142,17,272,19,71,Aston Villa,EPL,2020
h,4.58214,0.849086,4.58214,0.849086,9,12,3,0,2.9483,w,2020-12-26,1,0,0,3,3.733054,246,25,106,14,71,Aston Villa,EPL,2020
a,0.730859,1.53701,0.730859,1.53701,6,8,1,1,0.6555,d,2020-12-28,0,1,0,1,-0.806151,322,19,144,28,71,Aston Villa,EPL,2020
a,1.56434,2.46473,1.56434,1.70357,5,10,1,2,0.7895,l,2021-01-01,0,0,1,0,-0.13922999999999996,214,20,213,28,71,Aston Villa,EPL,2020
a,0.601768,3.34385,0.601768,2.58268,3,21,0,2,0.09839999999999999,l,2021-01-20,0,0,1,0,-1.980912,312,14,140,17,71,Aston Villa,EPL,2020
h,2.6026,0.400364,2.6026,0.400364,7,2,2,0,2.7983000000000002,w,2021-01-23,1,0,0,3,2.2022359999999996,190,24,338,21,71,Aston Villa,EPL,2020
a,2.70718,0.717681,2.70718,0.717681,7,2,2,3,2.6656,l,2021-01-27,0,0,1,0,1.9894990000000001,97,8,242,30,71,Aston Villa,EPL,2020
a,0.795508,2.22557,0.795508,2.22557,4,17,1,0,0.4084,w,2021-01-30,1,0,0,3,-1.430062,274,26,145,16,71,Aston Villa,EPL,2020
h,0.741154,1.79064,0.741154,1.79064,7,6,1,3,0.6338,l,2021-02-03,0,0,1,0,-1.049486,170,22,259,15,71,Aston Villa,EPL,2020
h,1.19792,0.679649,1.19792,0.679649,5,14,1,0,1.7979,w,2021-02-06,1,0,0,3,0.5182710000000001,309,15,135,22,71,Aston Villa,EPL,2020
a,0.144036,2.33232,0.144036,2.33232,4,16,0,0,0.1071,d,2021-02-13,0,1,0,1,-2.1882840000000003,245,15,192,22,71,Aston Villa,EPL,2020
h,1.7084,1.23852,1.7084,1.23852,5,6,1,2,1.7764000000000002,l,2021-02-21,0,0,1,0,0.46987999999999985,235,17,226,25,71,Aston Villa,EPL,2020
a,0.876255,1.00106,0.876255,1.00106,1,6,1,0,1.2084000000000001,w,2021-02-27,1,0,0,3,-0.12480500000000005,285,25,89,20,71,Aston Villa,EPL,2020
a,1.44176,0.716254,1.44176,0.716254,16,5,0,1,1.963,l,2021-03-03,0,0,1,0,0.725506,129,9,336,23,71,Aston Villa,EPL,2020
h,0.956392,2.15087,0.956392,2.15087,1,0,0,0,0.425,d,2021-03-06,0,1,0,1,-1.1944779999999997,227,25,228,18,71,Aston Villa,EPL,2020
a,0.748665,0.873171,0.748665,0.873171,5,5,1,1,1.2264000000000002,d,2021-03-12,0,1,0,1,-0.124506,158,21,190,28,71,Aston Villa,EPL,2020
h,0.439681,1.72011,0.439681,0.958941,8,6,0,2,0.2982,l,2021-03-21,0,0,1,0,-0.51926,241,38,216,20,71,Aston Villa,EPL,2020
h,1.52229,1.52172,1.52229,1.52172,4,3,3,1,1.3447,w,2021-04-04,1,0,0,3,5.699999999999594e-4,215,30,220,22,71,Aston Villa,EPL,2020
a,0.760621,2.14592,0.760621,2.14592,6,13,1,2,0.4586,l,2021-04-10,0,0,1,0,-1.3852989999999998,313,31,130,23,71,Aston Villa,EPL,2020
h,0.801733,1.5634,0.801733,1.5634,4,17,1,2,0.7419,l,2021-04-21,0,0,1,0,-0.7616669999999999,352,14,180,12,71,Aston Villa,EPL,2020
