name_team,id,ova,att,mid,def,transfer_budget,speed,dribbling,passing,positioning,crossing,shooting,aggression,pressure,team_width,defender_line,dp,ip,players,saa,taa,date,fifa
liverpool,9,85,86,83,80,90.0,slow,little,safe,organised,little,little,contain,deep,narrow,cover,9,10,33,25.91,24.55,2021-06-18,FIFA21
manchester_city,10,85,85,86,83,176.0,slow,little,safe,organised,little,little,contain,deep,narrow,cover,10,9,31,25.27,24.23,2021-06-18,FIFA21
chelsea,5,82,82,84,82,85.0,slow,little,safe,organised,little,little,contain,deep,narrow,cover,8,7,29,26.0,24.69,2021-06-18,FIFA21
manchester_united,11,82,83,82,82,177.0,slow,little,safe,organised,little,little,contain,deep,narrow,cover,8,7,33,24.45,24.0,2021-06-18,FIFA21
tottenham_hotspur,18,82,89,82,81,75.0,slow,little,safe,organised,little,little,contain,deep,narrow,cover,8,7,33,26.82,24.42,2021-06-18,FIFA21
arsenal,1,80,83,79,79,80.0,slow,little,safe,organised,little,little,contain,deep,narrow,cover,7,7,33,24.73,23.55,2021-06-18,FIFA21
leicester_city,95,80,80,81,79,45.0,slow,little,safe,organised,little,little,contain,deep,narrow,cover,6,6,32,25.73,24.41,2021-06-18,FIFA21
everton,7,79,81,79,80,51.0,slow,little,safe,organised,little,little,contain,deep,narrow,cover,6,5,33,26.82,23.85,2021-06-18,FIFA21
wolverhampton_wanderers,110,79,77,81,78,45.0,slow,little,safe,organised,little,little,contain,deep,narrow,cover,5,4,33,25.45,23.06,2021-06-18,FIFA21
west_ham_united,19,78,79,79,77,35.0,slow,little,safe,organised,little,little,contain,deep,narrow,cover,4,4,33,27.73,24.82,2021-06-18,FIFA21
aston_villa,2,77,77,77,77,37.5,slow,little,safe,organised,little,little,contain,deep,narrow,cover,2,2,29,24.18,23.97,2021-06-18,FIFA21
burnley,1796,76,75,76,77,27.0,slow,little,safe,organised,little,little,contain,deep,narrow,cover,3,1,33,27.36,25.06,2021-06-18,FIFA21
crystal_palace,1799,76,77,75,75,30.0,slow,little,safe,organised,little,little,contain,deep,narrow,cover,3,2,33,28.55,26.82,2021-06-18,FIFA21
leeds_united,8,76,78,76,75,16.5,slow,little,safe,organised,little,little,contain,deep,narrow,cover,9,1,33,25.09,23.67,2021-06-18,FIFA21
newcastle_united,13,76,77,75,74,30.0,slow,little,safe,organised,little,little,contain,deep,narrow,cover,4,3,33,26.91,25.39,2021-06-18,FIFA21
southampton,17,76,77,77,76,35.0,slow,little,safe,organised,little,little,contain,deep,narrow,cover,4,3,31,26.09,23.29,2021-06-18,FIFA21
brighton_&_hove_albion,1808,75,75,76,76,36.0,slow,little,safe,organised,little,little,contain,deep,narrow,cover,2,1,33,25.64,23.64,2021-06-18,FIFA21
fulham,144,75,74,75,74,16.5,slow,little,safe,organised,little,little,contain,deep,narrow,cover,9,1,33,24.45,24.09,2021-06-18,FIFA21
west_bromwich_albion,109,74,74,74,72,18.4,slow,little,safe,organised,little,little,contain,deep,narrow,cover,9,1,31,25.64,25.94,2021-06-18,FIFA21
sheffield_united,1794,73,71,74,73,20.0,slow,little,safe,organised,little,little,contain,deep,narrow,cover,2,1,33,26.64,24.45,2021-06-18,FIFA21
liverpool,9,85,86,83,80,90.0,slow,little,safe,organised,little,little,contain,deep,narrow,cover,9,10,33,25.91,24.55,2021-06-15,FIFA21
manchester_city,10,85,85,86,83,176.0,slow,little,safe,organised,little,little,contain,deep,narrow,cover,10,9,31,25.27,24.23,2021-06-15,FIFA21
chelsea,5,82,82,84,82,85.0,slow,little,safe,organised,little,little,contain,deep,narrow,cover,8,7,29,26.0,24.69,2021-06-15,FIFA21
manchester_united,11,82,83,82,82,177.0,slow,little,safe,organised,little,little,contain,deep,narrow,cover,8,7,33,24.45,24.0,2021-06-15,FIFA21
tottenham_hotspur,18,82,89,82,81,75.0,slow,little,safe,organised,little,little,contain,deep,narrow,cover,8,7,33,26.82,24.42,2021-06-15,FIFA21
arsenal,1,80,83,79,79,80.0,slow,little,safe,organised,little,little,contain,deep,narrow,cover,7,7,33,24.73,23.55,2021-06-15,FIFA21
leicester_city,95,80,80,81,79,45.0,slow,little,safe,organised,little,little,contain,deep,narrow,cover,6,6,32,25.73,24.41,2021-06-15,FIFA21
everton,7,79,81,79,80,51.0,slow,little,safe,organised,little,little,contain,deep,narrow,cover,6,5,33,26.82,23.85,2021-06-15,FIFA21
